,Airline,Journey_date,From,Destination,Dep_Time,Arrival_Time,Total_Stops,Duration,Price
0,Vistara,04/01/2023,New Delhi,Bengaluru,05:35,08:20,Non stop,02 h 45 m,"₹ 7,184"
1,Vistara,04/01/2023,New Delhi,Bengaluru,08:10,10:45,Non stop,02 h 35 m,"₹ 7,184"
2,Vistara,04/01/2023,New Delhi,Bengaluru,09:05,11:50,Non stop,02 h 45 m,"₹ 7,184"
3,Vistara,04/01/2023,New Delhi,Bengaluru,16:05,18:50,Non stop,02 h 45 m,"₹ 7,184"
4,Air India,04/01/2023,New Delhi,Bengaluru,16:55,20:15,Non stop,03 h 20 m,"₹ 7,184"
5,Vistara,04/01/2023,New Delhi,Bengaluru,17:30,20:25,Non stop,02 h 55 m,"₹ 7,184"
6,Vistara,04/01/2023,New Delhi,Bengaluru,19:55,22:40,Non stop,02 h 45 m,"₹ 7,184"
7,Vistara,04/01/2023,New Delhi,Bengaluru,20:40,23:20,Non stop,02 h 40 m,"₹ 7,184"
8,IndiGo,04/01/2023,New Delhi,Bengaluru,05:10,14:35,1 stop via Jaipur,09 h 25 m,"₹ 7,487"
9,SpiceJet,04/01/2023,New Delhi,Bengaluru,20:00,22:20,Non stop,02 h 20 m,"₹ 8,445"
10,IndiGo,04/01/2023,New Delhi,Bengaluru,19:20,22:05,Non stop,02 h 45 m,"₹ 8,580"
11,IndiGo,04/01/2023,New Delhi,Bengaluru,20:30,23:25,Non stop,02 h 55 m,"₹ 8,580"
12,IndiGo,04/01/2023,New Delhi,Bengaluru,21:45,00:35,Non stop,02 h 50 m,"₹ 8,580"
13,Go First,04/01/2023,New Delhi,Bengaluru,12:45,20:50,1 stop via Ranchi,08 h 05 m,"₹ 8,866"
14,AirAsia,04/01/2023,New Delhi,Bengaluru,19:05,21:45,Non stop,02 h 40 m,"₹ 9,000"
15,Go First,04/01/2023,New Delhi,Bengaluru,20:10,22:50,Non stop,02 h 40 m,"₹ 9,002"
16,SpiceJet,04/01/2023,New Delhi,Bengaluru,06:20,09:10,Non stop,02 h 50 m,"₹ 9,181"
17,SpiceJet,04/01/2023,New Delhi,Bengaluru,22:00,00:45,Non stop,02 h 45 m,"₹ 9,181"
18,IndiGo,04/01/2023,New Delhi,Bengaluru,09:40,19:55,1 stop via Vadodara,10 h 15 m,"₹ 9,736"
19,IndiGo,04/01/2023,New Delhi,Bengaluru,22:30,08:10,1 stop via Hyderabad,09 h 40 m,"₹ 9,886"
20,Akasa Air,04/01/2023,New Delhi,Bengaluru,11:50,14:35,Non stop,02 h 45 m,"₹ 9,977"
21,IndiGo,04/01/2023,New Delhi,Bengaluru,07:55,11:05,Non stop,03 h 10 m,"₹ 10,320"
22,IndiGo,04/01/2023,New Delhi,Bengaluru,17:25,20:05,Non stop,02 h 40 m,"₹ 10,320"
23,IndiGo,04/01/2023,New Delhi,Bengaluru,22:55,01:45,Non stop,02 h 50 m,"₹ 10,320"
24,Vistara,04/01/2023,New Delhi,Bengaluru,14:10,17:00,Non stop,02 h 50 m,"₹ 10,334"
25,AirAsia,04/01/2023,New Delhi,Bengaluru,08:10,10:55,Non stop,02 h 45 m,"₹ 10,501"
26,AirAsia,04/01/2023,New Delhi,Bengaluru,09:30,12:15,Non stop,02 h 45 m,"₹ 10,501"
27,AirAsia,04/01/2023,New Delhi,Bengaluru,16:30,19:20,Non stop,02 h 50 m,"₹ 10,501"
28,IndiGo,04/01/2023,New Delhi,Bengaluru,23:15,06:20,1 stop via Pune,07 h 05 m,"₹ 10,595"
29,Go First,04/01/2023,New Delhi,Bengaluru,05:45,08:35,Non stop,02 h 50 m,"₹ 11,702"
30,IndiGo,04/01/2023,New Delhi,Bengaluru,19:45,01:10,1 stop via Hyderabad,05 h 25 m,"₹ 11,954"
31,AirAsia,04/01/2023,New Delhi,Bengaluru,21:20,00:25,Non stop,03 h 05 m,"₹ 12,000"
32,"Vistara, AirAsia",04/01/2023,New Delhi,Bengaluru,07:40,13:50,1 stop via Chennai,06 h 10 m,"₹ 12,344"
33,IndiGo,04/01/2023,New Delhi,Bengaluru,13:05,15:55,Non stop,02 h 50 m,"₹ 12,640"
34,IndiGo,04/01/2023,New Delhi,Bengaluru,15:40,18:30,Non stop,02 h 50 m,"₹ 12,640"
35,IndiGo,04/01/2023,New Delhi,Bengaluru,02:10,09:00,1 stop via Pune,06 h 50 m,"₹ 12,727"
36,Air India,04/01/2023,New Delhi,Bengaluru,15:35,18:30,Non stop,02 h 55 m,"₹ 12,959"
37,"IndiGo, AirAsia",04/01/2023,New Delhi,Bengaluru,15:10,20:50,1 stop via Hyderabad,05 h 40 m,"₹ 13,895"
38,Air India,04/01/2023,New Delhi,Bengaluru,13:30,16:25,Non stop,02 h 55 m,"₹ 21,495"
